pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connection_status
0,0,0,0,0,0,0.216612607,0.004263985,-0.048459589,3.121167898,0.109543517,2.944333076,0.055469003,0.097821973,0.993854702,0.004762177,39.39006805,-8.289392471,214891,9,-0.116875999,0.052154999,-1.035048008,3.806250095,-0.761250019,0.288749993,-0.704824567,0.104537807,1.284157038,26.86000061,100053,106.4273453,4045,83,0,0,0,65538,527312,-110,8.25,TRUE
0,0,0,0,0,0,0.209796771,-0.012269641,-0.077347219,3.121757269,0.110267617,2.944362879,0.055801,0.097810648,0.993813634,0.004433555,39.39006805,-8.289392471,214867,9,-0.103760995,0.026900999,-0.940192997,8.688750267,-4.427500248,-0.0175,-0.695959806,0.104404122,1.283535004,26.87999916,100050,106.6783676,4042,83,0,0,0,65538,527612,-106,8.25,TRUE
0,0,0,0,0,0,0.20953311,0.005537255,-0.034213305,3.120112419,0.108628593,2.944216728,0.055066563,0.097857751,0.993870258,0.005328927,39.39006805,-8.289392471,214874,9,-0.114801995,0.034281999,-0.967032969,3.823750019,-0.971249998,-0.113750003,-0.707112789,0.104524598,1.278157473,26.84000015,100054,106.3427887,4044,83,0,0,0,65538,527913,-110,8.75,TRUE
0,0,0,0,0,0,0.226661459,-0.008099688,-0.000529945,3.120310068,0.107559696,2.944036961,0.054527543,0.097954623,0.993868649,0.005278002,39.39006805,-8.289392471,214823,9,-0.113215998,0.036111999,-1.017967939,9.108750343,-4.243750095,-0.236249998,-0.701397121,0.104067542,1.279066563,26.87999916,100044,107.1830521,4045,83,0,0,0,65538,528216,-108,8.25,TRUE
0,0,0,0,0,0,0.199602753,0.00772177,-0.042154074,3.123423815,0.109498806,2.943972826,0.055337206,0.098062925,0.993839741,0.00363288,39.39006805,-8.289392471,214754,8,-0.105407998,0.049043998,-1.015406013,0.174999997,1.120000005,0.166250005,-0.708828926,0.104510233,1.28058207,26.88999939,100038,107.6877365,4044,83,0,0,0,65538,528516,-108,9,TRUE
0,0,0,0,0,0,0.237632737,-0.011599357,-0.045080841,3.122052431,0.109958783,2.94388485,0.055634361,0.098057888,0.993795991,0.004288705,39.39006805,-8.289393425,214727,8,-0.127489999,0.032756999,-0.975268006,-0.253749996,2.380000114,0.612500012,-0.707976699,0.10389366,1.271822929,26.86000061,100050,106.6783676,4042,83,0,0,0,65538,528817,-106,9,TRUE
0,0,0,0,0,0,0.221418142,0.017628597,-0.038637578,3.122900724,0.109958582,2.944259644,0.055591632,0.097896934,0.993821859,0.003877655,39.39006805,-8.289393425,214693,8,-0.115534,0.038734999,-0.986979961,0.560000002,0.673749983,0.192499995,-0.714548171,0.104593031,1.276096821,26.87000084,100041,107.4340668,4050,83,0,0,0,65538,529115,-110,9,TRUE
0,0,0,0,0,0,0.204955265,0.018548409,-0.009716809,3.119304895,0.108051166,2.944336653,0.05482021,0.097773075,0.993864119,0.005761527,39.39006805,-8.289393425,214630,8,-0.102601998,0.035319,-0.925491989,-1.321249962,2.992500067,0.140000001,-0.710551381,0.103836469,1.261832356,26.87999916,100033,108.1078644,4042,83,0,0,0,65538,529415,-110,9,TRUE
0,0,0,0,0,0,0.231745541,-0.015108865,-0.025255084,3.117230415,0.105575576,2.944170237,0.05369268,0.097819805,0.993911743,0.006910723,39.39006805,-8.289393425,214628,7,-0.128405005,0.027694,-1.024860978,1.25999999,1.47874999,0.035,-0.707400739,0.104320228,1.275633812,26.79000092,100022,109.0326767,4045,83,0,0,0,65538,529716,-108,8.75,TRUE
0,0,0,0,0,0,0.233004928,-0.024483681,0.001102448,3.118549824,0.106816076,2.943860531,0.054245245,0.097998776,0.993868709,0.006184943,39.39006805,-8.289393425,214550,7,-0.122792996,0.02318,-1.020529985,3.972500086,-0.49000001,0.288749993,-0.706548512,0.103703648,1.25973475,26.86000061,100052,106.5092545,4047,83,0,0,0,65538,530017,-110,9,TRUE
0,0,0,0,0,0,0.222193778,0.003420698,0.001793623,3.120470524,0.108056538,2.943860054,0.054767229,0.098041154,0.993841231,0.005168635,39.39006805,-8.289393425,214532,8,-0.105834998,0.041967999,-1.057983994,3.745000124,-0.629999995,0.245000005,-0.703965068,0.104705393,1.280357599,26.87000084,100051,106.593811,4042,83,0,0,0,65538,530318,-111,8.75,TRUE
0,0,0,0,0,0,0.218459457,-0.010630295,0.004130483,3.12040019,0.109010823,2.94392705,0.055244457,0.09799847,0.993819475,0.005158185,39.39006805,-8.289394379,214461,8,-0.105285995,0.027145,-0.97575599,1.995000005,0.446249992,0.0175,-0.709688306,0.104360469,1.267325282,26.81999969,100027,108.6125412,4045,83,0,0,0,65538,530619,-110,9.25,TRUE
0,0,0,0,0,0,0.213368014,-0.002340851,-0.058695018,3.121025324,0.110325858,2.943957806,0.055866707,0.097991094,0.993790567,0.004783247,39.39006805,-8.289394379,214443,8,-0.101991996,0.05246,-0.981428981,10.47375011,-5.40749979,-0.026250001,-0.697962761,0.104310133,1.283741117,26.87999916,100042,107.3521576,4044,83,0,0,0,65538,530919,-112,9.25,TRUE
0,0,0,0,0,0,0.237632483,-0.020194434,0.015689135,3.120411634,0.110080652,2.943803787,0.055775385,0.098052487,0.993788242,0.005096114,39.39006805,-8.289395332,214472,8,-0.086375996,0.045261998,-1.016687036,-1.452499986,2.668750048,0.49000001,-0.70140034,0.103728935,1.262937784,26.87000084,100058,106.0045776,4047,83,0,0,0,65538,531221,-110,8.5,TRUE
0,0,0,0,0,0,0.228087574,-0.008791547,-0.001029789,3.122235298,0.109635495,2.943879604,0.055464678,0.098068975,0.993808031,0.004213842,39.39006805,-8.289395332,214474,8,-0.099918,0.048129,-1.082993984,-0.113750003,2.861249924,0.096249998,-0.700248957,0.104492955,1.281501532,26.87999916,100069,105.0797653,4045,83,0,0,0,65538,531521,-106,8.75,TRUE
