pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,h_ax,h_ay,h_az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connectionstatus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,35298,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,35598,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,35901,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,36199,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,36501,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,36800,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,37102,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,37401,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,37703,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,38006,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,38309,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,38605,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,38907,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,39208,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,39507,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,39810,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,40113,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,40411,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,40713,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,41013,-164,0.0,True
